Date,log_ret,Index
31/08/2018,0.016057437,510
04/09/2018,0.002783732,511
05/09/2018,-0.006773984,512
06/09/2018,-0.017025501,513
07/09/2018,-0.002669624,514
10/09/2018,-0.019397653,515
11/09/2018,0.000415676,516
12/09/2018,0.015032364,517
13/09/2018,0.01234165,518
14/09/2018,-0.000215686,519
17/09/2018,-0.023885153,520
18/09/2018,-0.000690624,521
19/09/2018,-0.008417792,522
20/09/2018,0.017724022,523
21/09/2018,-0.00852356,524
24/09/2018,-0.003042038,525
25/09/2018,0.01407215,526
26/09/2018,0.000273062,527
27/09/2018,0.017054327,528
28/09/2018,0.002144965,529
01/10/2018,0.01034714,530
02/10/2018,0.001236258,531
03/10/2018,0.013803598,532
04/10/2018,-0.013362447,533
05/10/2018,-0.027499441,534
08/10/2018,-0.001724217,535
09/10/2018,0.009248652,536
10/10/2018,-0.028275014,537
11/10/2018,-0.017415292,538
12/10/2018,0.021065184,539
15/10/2018,0.001981065,540
16/10/2018,-0.002337152,541
17/10/2018,0.011819369,542
18/10/2018,-0.029330872,543
19/10/2018,0.020584794,544
22/10/2018,0.00692076,545
23/10/2018,-0.019556015,546
24/10/2018,-0.000745504,547
25/10/2018,0.010248414,548
26/10/2018,-0.019002947,549
29/10/2018,-0.031428702,550
30/10/2018,0.015312318,551
31/10/2018,0.034519382,552
01/11/2018,0.000876728,553
02/11/2018,-0.053916051,554
05/11/2018,-0.035980095,555
06/11/2018,0.017606617,556
07/11/2018,0.012025181,557
08/11/2018,0.012753288,558
09/11/2018,-0.022005778,559
12/11/2018,-0.042729457,560
13/11/2018,-0.012148421,561
14/11/2018,-0.029256419,562
15/11/2018,0.005203456,563
16/11/2018,0.013604206,564
19/11/2018,-0.023876151,565
20/11/2018,-0.052605748,566
21/11/2018,0.005908101,567
23/11/2018,-0.025528419,568
26/11/2018,-0.010749023,569
27/11/2018,0.003634875,570
28/11/2018,0.023424338,571
29/11/2018,0.015710841,572
30/11/2018,-0.003777525,573
03/12/2018,0.02333737,574
04/12/2018,-0.027639669,575
06/12/2018,-0.033750932,576
07/12/2018,-0.012517877,577
10/12/2018,-0.029975407,578
11/12/2018,0.022221118,579
12/12/2018,0.012023239,580
13/12/2018,0.003130817,581
14/12/2018,-0.025506863,582
17/12/2018,-0.01554862,583
18/12/2018,0.010149268,584
19/12/2018,-0.032771574,585
20/12/2018,-0.02411135,586
21/12/2018,-0.03719315,587
24/12/2018,-0.020526006,588
26/12/2018,0.000886434,589
27/12/2018,0.022575843,590
28/12/2018,0.029415817,591
31/12/2018,0.012410538,592
02/01/2019,-0.014483212,593
03/01/2019,-0.082617937,594
04/01/2019,0.012596388,595
07/01/2019,0.01449801,596
08/01/2019,0.017798174,597
09/01/2019,0.007445951,598
10/01/2019,0.008186674,599
11/01/2019,0.004299375,600
14/01/2019,-0.015229902,601
15/01/2019,0.005546845,602
16/01/2019,0.01946935,603
17/01/2019,0.001697904,604
