,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
137,MSFT,01/12/2020 11:47,17/09/2021,190,C,0,35.4,35.75,214.44,35.575,0.793976728,35.515,214.3484
138,MSFT,01/12/2020 11:48,17/09/2021,190,C,0,35.4,35.7,214.28,35.55,0.793976728,35.54,214.3522
139,MSFT,01/12/2020 11:49,17/09/2021,190,C,0,35.3,35.6,214.232,35.45,0.793976728,35.535,214.3346
140,MSFT,01/12/2020 11:50,17/09/2021,190,C,0,35.3,35.7,214.34,35.5,0.793976728,35.52,214.3334
141,MSFT,01/12/2020 11:51,17/09/2021,190,C,0,35.3,35.6,214.21,35.45,0.793976728,35.505,214.3004
142,MSFT,01/12/2020 11:52,17/09/2021,190,C,0,35.3,35.6,214.235,35.45,0.793976728,35.48,214.2594
143,MSFT,01/12/2020 11:53,17/09/2021,190,C,0,35.3,35.6,214.21,35.45,0.793976728,35.46,214.2454
144,MSFT,01/12/2020 11:54,17/09/2021,190,C,0,35.2,35.6,214.065,35.4,0.793976728,35.45,214.212
145,MSFT,01/12/2020 11:55,17/09/2021,190,C,0,35.2,35.55,214.21,35.375,0.793976728,35.425,214.186
146,MSFT,01/12/2020 11:56,17/09/2021,190,C,0,35.2,35.65,214.32,35.425,0.793976728,35.42,214.208
147,MSFT,01/12/2020 11:57,17/09/2021,190,C,0,35.25,35.7,214.39,35.475,0.793976728,35.425,214.239
148,MSFT,01/12/2020 11:58,17/09/2021,190,C,0,35.35,35.9,214.59,35.625,0.793976728,35.46,214.315
149,MSFT,01/12/2020 11:59,17/09/2021,190,C,0,35.5,35.9,214.67,35.7,0.793976728,35.52,214.436
150,MSFT,01/12/2020 12:00,17/09/2021,190,C,0,35.5,35.9,214.68,35.7,0.793976728,35.585,214.53
151,MSFT,01/12/2020 12:01,17/09/2021,190,C,0,35.5,36,214.72,35.75,0.793976728,35.65,214.61
152,MSFT,01/12/2020 12:02,17/09/2021,190,C,0,35.5,35.95,214.73,35.725,0.793976728,35.7,214.678
153,MSFT,01/12/2020 12:03,17/09/2021,190,C,0,35.5,36.05,214.83,35.775,0.793976728,35.73,214.726
154,MSFT,01/12/2020 12:04,17/09/2021,190,C,0,35.65,36.15,214.922,35.9,0.793976728,35.77,214.7764
155,MSFT,01/12/2020 12:05,17/09/2021,190,C,0,35.65,36.2,215.04,35.925,0.793976728,35.815,214.8484
156,MSFT,01/12/2020 12:06,17/09/2021,190,C,0,35.7,36.2,215.03,35.95,0.793976728,35.855,214.9104
157,MSFT,01/12/2020 12:07,17/09/2021,190,C,0,35.8,36.2,215.02,36,0.793976728,35.91,214.9684
158,MSFT,01/12/2020 12:08,17/09/2021,190,C,0,35.8,36.2,215.035,36,0.793976728,35.955,215.0094
159,MSFT,01/12/2020 12:09,17/09/2021,190,C,0,35.8,36.3,215.14,36.05,0.793976728,35.985,215.053
160,MSFT,01/12/2020 12:10,17/09/2021,190,C,0,35.8,36.35,215.33,36.075,0.793976728,36.015,215.111
161,MSFT,01/12/2020 12:11,17/09/2021,190,C,0,35.85,36.45,215.29,36.15,0.793976728,36.055,215.163
162,MSFT,01/12/2020 12:12,17/09/2021,190,C,0,35.85,36.4,215.315,36.125,0.793976728,36.08,215.222
163,MSFT,01/12/2020 12:13,17/09/2021,190,C,0,35.9,36.5,215.378,36.2,0.793976728,36.12,215.2906
164,MSFT,01/12/2020 12:14,17/09/2021,190,C,0,36,36.45,215.33,36.225,0.793976728,36.155,215.3286
165,MSFT,01/12/2020 12:15,17/09/2021,190,C,0,36,36.45,215.35,36.225,0.793976728,36.185,215.3326
166,MSFT,01/12/2020 12:16,17/09/2021,190,C,0,36,36.4,215.295,36.2,0.793976728,36.195,215.3336
167,MSFT,01/12/2020 12:17,17/09/2021,190,C,0,36,36.35,215.25,36.175,0.793976728,36.205,215.3206
168,MSFT,01/12/2020 12:18,17/09/2021,190,C,0,36,36.35,215.23,36.175,0.793976728,36.2,215.291
169,MSFT,01/12/2020 12:19,17/09/2021,190,C,0,35.35,36.25,215,35.8,0.793976728,36.115,215.225
170,MSFT,01/12/2020 12:20,17/09/2021,190,C,0,35.5,36.35,215.263,35.925,0.793976728,36.055,215.2076
171,MSFT,01/12/2020 12:21,17/09/2021,190,C,0,35.6,36.35,215.29,35.975,0.793976728,36.01,215.2066
172,MSFT,01/12/2020 12:22,17/09/2021,190,C,0,35.6,36.4,215.314,36,0.793976728,35.975,215.2194
173,MSFT,01/12/2020 12:23,17/09/2021,190,C,0,35.7,36.4,215.36,36.05,0.793976728,35.95,215.2454
174,MSFT,01/12/2020 12:24,17/09/2021,190,C,0,35.95,36.7,215.42,36.325,0.793976728,36.055,215.3294
175,MSFT,01/12/2020 12:25,17/09/2021,190,C,0,36,36.65,215.41,36.325,0.793976728,36.135,215.3588
176,MSFT,01/12/2020 12:26,17/09/2021,190,C,0,36,36.65,215.45,36.325,0.793976728,36.205,215.3908
177,MSFT,01/12/2020 12:27,17/09/2021,190,C,0,36.05,36.65,215.41,36.35,0.793976728,36.275,215.41
178,MSFT,01/12/2020 12:28,17/09/2021,190,C,0,36.05,36.6,215.39,36.325,0.793976728,36.33,215.416
179,MSFT,01/12/2020 12:29,17/09/2021,190,C,0,36.05,36.6,215.429,36.325,0.793976728,36.33,215.4178
180,MSFT,01/12/2020 12:30,17/09/2021,190,C,0,36.05,36.55,215.46,36.3,0.793976728,36.325,215.4278
181,MSFT,01/12/2020 12:31,17/09/2021,190,C,0,36.1,36.75,215.589,36.425,0.793976728,36.345,215.4556
182,MSFT,01/12/2020 12:32,17/09/2021,190,C,0,36.2,36.75,215.692,36.475,0.793976728,36.37,215.512
183,MSFT,01/12/2020 12:33,17/09/2021,190,C,0,36.2,36.75,215.785,36.475,0.793976728,36.4,215.591
184,MSFT,01/12/2020 12:34,17/09/2021,190,C,0,36.35,36.75,215.843,36.55,0.793976728,36.445,215.6738
185,MSFT,01/12/2020 12:35,17/09/2021,190,C,0,36.35,36.7,215.7,36.525,0.793976728,36.49,215.7218
186,MSFT,01/12/2020 12:36,17/09/2021,190,C,0,36.25,36.65,215.64,36.45,0.793976728,36.495,215.732
187,MSFT,01/12/2020 12:37,17/09/2021,190,C,0,36.25,36.65,215.56,36.45,0.793976728,36.49,215.7056
188,MSFT,01/12/2020 12:38,17/09/2021,190,C,0,36.25,36.65,215.58,36.45,0.793976728,36.485,215.6646
189,MSFT,01/12/2020 12:39,17/09/2021,190,C,0,36.05,36.45,215.49,36.25,0.793976728,36.425,215.594
190,MSFT,01/12/2020 12:40,17/09/2021,190,C,0,36.05,36.5,215.39,36.275,0.793976728,36.375,215.532
191,MSFT,01/12/2020 12:41,17/09/2021,190,C,0,35.95,36.4,215.227,36.175,0.793976728,36.32,215.4494
192,MSFT,01/12/2020 12:42,17/09/2021,190,C,0,35.95,36.35,215.38,36.15,0.793976728,36.26,215.4134
193,MSFT,01/12/2020 12:43,17/09/2021,190,C,0,36,36.4,215.37,36.2,0.793976728,36.21,215.3714
194,MSFT,01/12/2020 12:44,17/09/2021,190,C,0,36.05,36.45,215.42,36.25,0.793976728,36.21,215.3574
195,MSFT,01/12/2020 12:45,17/09/2021,190,C,0,36.05,36.4,215.32,36.225,0.793976728,36.2,215.3434
196,MSFT,01/12/2020 12:46,17/09/2021,190,C,0,35.9,36.35,215.15,36.125,0.793976728,36.19,215.328
197,MSFT,01/12/2020 12:47,17/09/2021,190,C,0,35.9,36.35,215.17,36.125,0.793976728,36.185,215.286
198,MSFT,01/12/2020 12:48,17/09/2021,190,C,0,36,36.4,215.35,36.2,0.793976728,36.185,215.282
199,MSFT,01/12/2020 12:49,17/09/2021,190,C,0,36,36.4,215.39,36.2,0.793976728,36.175,215.276
200,MSFT,01/12/2020 12:50,17/09/2021,190,C,0,36,36.4,215.4,36.2,0.793976728,36.17,215.292
201,MSFT,01/12/2020 12:51,17/09/2021,190,C,0,36.05,36.45,215.43,36.25,0.793976728,36.195,215.348
202,MSFT,01/12/2020 12:52,17/09/2021,190,C,0,36.1,36.45,215.435,36.275,0.793976728,36.225,215.401
203,MSFT,01/12/2020 12:53,17/09/2021,190,C,0,36.1,36.5,215.475,36.3,0.793976728,36.245,215.426
204,MSFT,01/12/2020 12:54,17/09/2021,190,C,0,36.15,36.5,215.48,36.325,0.793976728,36.27,215.444
205,MSFT,01/12/2020 12:55,17/09/2021,190,C,0,36.15,36.6,215.59,36.375,0.793976728,36.305,215.482
206,MSFT,01/12/2020 12:56,17/09/2021,190,C,0,36.2,36.6,215.66,36.4,0.793976728,36.335,215.528
207,MSFT,01/12/2020 12:57,17/09/2021,190,C,0,36.05,36.6,215.59,36.325,0.793976728,36.345,215.559
208,MSFT,01/12/2020 12:58,17/09/2021,190,C,0,36.1,36.6,215.63,36.35,0.793976728,36.355,215.59
209,MSFT,01/12/2020 12:59,17/09/2021,190,C,0,36.1,36.6,215.63,36.35,0.793976728,36.36,215.62
210,MSFT,01/12/2020 13:00,17/09/2021,190,C,0,36.1,36.55,215.46,36.325,0.793976728,36.35,215.594
211,MSFT,01/12/2020 13:01,17/09/2021,190,C,0,36.1,36.55,215.52,36.325,0.793976728,36.335,215.566
212,MSFT,01/12/2020 13:02,17/09/2021,190,C,0,36.15,36.6,215.63,36.375,0.793976728,36.345,215.574
213,MSFT,01/12/2020 13:03,17/09/2021,190,C,0,36.15,36.6,215.632,36.375,0.793976728,36.35,215.5744
214,MSFT,01/12/2020 13:04,17/09/2021,190,C,0,36.2,36.6,215.67,36.4,0.793976728,36.36,215.5824
215,MSFT,01/12/2020 13:05,17/09/2021,190,C,0,36.2,36.7,215.68,36.45,0.793976728,36.385,215.6264
216,MSFT,01/12/2020 13:06,17/09/2021,190,C,0,36.25,36.65,215.65,36.45,0.793976728,36.41,215.6524
217,MSFT,01/12/2020 13:07,17/09/2021,190,C,0,36.25,36.7,215.705,36.475,0.793976728,36.43,215.6674
218,MSFT,01/12/2020 13:08,17/09/2021,190,C,0,36.25,36.6,215.65,36.425,0.793976728,36.44,215.671
219,MSFT,01/12/2020 13:09,17/09/2021,190,C,0,36.3,36.7,215.76,36.5,0.793976728,36.46,215.689
220,MSFT,01/12/2020 13:10,17/09/2021,190,C,0,36.3,36.8,215.84,36.55,0.793976728,36.48,215.721
221,MSFT,01/12/2020 13:11,17/09/2021,190,C,0,36.35,36.8,215.89,36.575,0.793976728,36.505,215.769
222,MSFT,01/12/2020 13:12,17/09/2021,190,C,0,36.35,36.85,215.965,36.6,0.793976728,36.53,215.821
223,MSFT,01/12/2020 13:13,17/09/2021,190,C,0,36.35,36.75,215.8,36.55,0.793976728,36.555,215.851
224,MSFT,01/12/2020 13:14,17/09/2021,190,C,0,36.35,36.7,215.69,36.525,0.793976728,36.56,215.837
